"i","asc1","desc1","dem1","p"
173,0.844194388980628,0.33603099431712,0.613027932993456,-208.330175788221
174,0.623249860638169,0.486345671823805,0.372126514602924,-206.723895104478
175,0.611964079561612,0.414073435435265,0.556486130612447,-207.092777430458
176,0.811407356801563,0.350475876096677,0.640337699246137,-208.494009438636
177,0.529223089584472,0.507727790210718,0.407154631693147,-207.082762414841
178,0.566999248008567,0.281965406664038,0.415411111253297,-206.05299048864
179,0.70567046512151,0.45868313244527,0.342808881486825,-206.677155146819
180,0.717348253449202,0.242760570704815,0.569372076098424,-207.397599420209
181,0.706262761170071,0.332910711871966,0.293897857723655,-206.360168442813
182,0.859051526665714,0.399701417872611,0.466859282968705,-207.235437691184
183,0.850299405523086,0.33930957993076,0.336686385965866,-206.790159780986
184,0.876491835464233,0.484478133321167,0.424973640994129,-207.901052095415
185,0.505412058060626,0.29477989257756,0.52443978836104,-207.027291922004
186,0.848801655681301,0.289717976967574,0.475549854993683,-206.984034602007
187,0.645851753405724,0.178101889154971,0.438723818299787,-207.312804616531
188,0.680890333542514,0.191694140146353,0.427367103110917,-206.972808258045
189,0.64224345797733,0.204697517267751,0.460779341579465,-206.863640342416
190,0.901140695689848,0.226540727770602,0.388996431383314,-207.562664443296
191,0.579135507597258,0.615518175469535,0.235741266527222,-209.664056632015
192,0.681543475312935,0.246526359452733,0.499529201450281,-206.592645612243
193,0.615673019962418,0.385263408073707,0.466851034628574,-206.178394901628
194,0.714296168769282,0.295998102683375,0.475020430513946,-206.206620038526
195,0.605516401706767,0.352258162719169,0.373328665165029,-205.851900566019
196,0.781339590060607,0.307991106854471,0.651750447575252,-208.431977291672
197,0.536511621024115,0.324956477311753,0.54005397432168,-206.886368615379
198,0.899566027731796,0.335991094794185,0.433139426541287,-207.166428337476
199,0.477451476301752,0.582940152308791,0.382116800668926,-207.885278173898
200,0.690804599155525,0.555486495151886,0.437636603639253,-207.667412316909
201,0.397674861763368,0.501514123939976,0.468257148279262,-208.077345887019
202,0.506083285931912,0.491641328903946,0.405300632149595,-207.048659400452
203,0.360538229609323,0.541987708438867,0.363979561995197,-208.456965667484
204,0.394379225636354,0.259065693796508,0.403920857826465,-208.147727789688
205,0.80281406895833,0.441026480322619,0.385885219978552,-206.87440150519
206,0.520459538079965,0.410895487928129,0.438853872908118,-206.511585091583
207,0.540365031870761,0.387566785919526,0.768524786354544,-210.191801757879
