Class,Order,Family,Species,Common Name,Cvalue
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,3.82
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.2
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.27
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.31
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.4
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.57
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.69
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.83
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.83
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,4.97
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,5.59
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,5.87
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,6.21
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,6.44
Amphibia,Anura,Bufonidae,Bufo viridis,Green toad,6.84
Amphibia,Anura,Bufonidae,Bufo viridis (4n),Green toad,12.03
Amphibia,Anura,Bufonidae,Melanophryniscus moreirae,Toad,2.94
Amphibia,Anura,Dendrobatidae,Colostethus marchesianus,Poison dart frog,6.9
Amphibia,Anura,Dendrobatidae,Dendrobates tinctorius,Dyeing poison dart frog,8.95
Amphibia,Anura,Dendrobatidae,Epipedobates cf. pictus sp.1,Poison dart frog,6.55
Amphibia,Anura,Dendrobatidae,Epipedobates cf. pictus sp.2,Poison dart frog,8.9
Amphibia,Anura,Dendrobatidae,Epipedobates femoralis,Amazonian poison dart frog,7.11
Amphibia,Anura,Dendrobatidae,Epipedobates trivittatus,Three-striped poison dart frog,8.49
Amphibia,Anura,Dendrobatidae,Mannophryne trinitatis,Poison dart frog,2.98
Amphibia,Anura,Discoglossidae,Alytes cisternasii,Iberian midwife toad,6.7
Amphibia,Anura,Discoglossidae,Alytes obstetricans,Midwife toad,8
Amphibia,Anura,Discoglossidae,Alytes obstetricans,Midwife toad,9.78
Amphibia,Anura,Discoglossidae,Alytes obstetricans,Midwife toad,9.78
Amphibia,Anura,Discoglossidae,Discoglossus pictus,Painted frog,5
Amphibia,Anura,Discoglossidae,Discoglossus pictus,Painted frog,5.25
Amphibia,Anura,Discoglossidae,Discoglossus pictus,Painted frog,5.25
Amphibia,Anura,Hylidae,Acris crepitans,Northern cricket frog,4.08
Amphibia,Anura,Hylidae,Acris crepitans,Northern cricket frog,4.15
Amphibia,Anura,Hylidae,Acris gryllus,Southern cricket frog,3.72
Amphibia,Anura,Hylidae,Acris gryllus,Southern cricket frog,4.49
Amphibia,Anura,Hylidae,Acris gryllus,Southern cricket frog,4.49
Amphibia,Anura,Hylidae,Cyclorana alboguttata,Striped burrowing frog,2.85
Amphibia,Anura,Hylidae,Gastrotheca microdiscus,Frog,2.31
Amphibia,Anura,Hylidae,Gastrotheca sp.,Frog,4.75
Amphibia,Anura,Hylidae,Hyla albomarginata,Tree frog,2.63
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,2.4
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,4.37
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,4.4
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,4.76
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,4.99
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,5.36
Amphibia,Anura,Hylidae,Hyla arborea,European tree frog,7
Amphibia,Anura,Hylidae,Hyla bischoffi,Tree frog,3.71
Amphibia,Anura,Hylidae,Hyla cf. lanciformis sp.1,Tree frog,5.41
Amphibia,Anura,Hylidae,Hyla cf. lanciformis sp.2,Tree frog,7.45
Amphibia,Anura,Hylidae,Hyla chrysoscelis,Cope's gray tree frog,4.67
Amphibia,Anura,Hylidae,Hyla cinerea,Green tree frog,4.41
Amphibia,Anura,Hylidae,Hyla cinerea,Green tree frog,4.69
Amphibia,Anura,Hylidae,Hyla crepitans,Emerald-eyed tree frog,4.83
Amphibia,Anura,Hylidae,Hyla faber,Smith frog,2.73
Amphibia,Anura,Hylidae,Hyla femoralis,Pine woods tree frog,3.83
Amphibia,Anura,Hylidae,Hyla geographica,Tree frog,3.28
Amphibia,Anura,Hylidae,Hyla granosa,Demerera Falls treefrog,4.53
Amphibia,Anura,Hylidae,Hyla gratiosa,Barking tree frog,6.45
Amphibia,Anura,Hylidae,Hyla heilprini,Hispanolian green stream frog,3.76
Amphibia,Anura,Hylidae,Hyla japonica,Eastern tree frog,4
Amphibia,Anura,Hylidae,Hyla japonica,Eastern tree frog,4.64
Amphibia,Anura,Hylidae,Hyla japonica,Eastern tree frog,5.45
Amphibia,Anura,Hylidae,Hyla lanciformis,Tree frog,6.61
Amphibia,Anura,Hylidae,Hyla microcephala,Small-headed tree frog,2.85
Amphibia,Anura,Hylidae,Hyla nana,Tree frog,1.89
Amphibia,Anura,Hylidae,Hyla polytaenia,Tree frog,2.35
Amphibia,Anura,Hylidae,Hyla prasina,Tree frog,5.15
Amphibia,Anura,Hylidae,Hyla savignyi,Tree frog,1.89
Amphibia,Anura,Hylidae,Hyla savignyi,Tree frog,4.06
Amphibia,Anura,Hylidae,Hyla savignyi,Tree frog,4.73
Amphibia,Anura,Hylidae,Hyla squirella,Squirrel tree frog,3.95
Amphibia,Anura,Hylidae,Hyla squirella,Squirrel tree frog,4.65
Amphibia,Anura,Hylidae,Hyla vasta,Giant tree frog,2.53
Amphibia,Anura,Hylidae,Hyla versicolor (4n),Eastern gray tree frog,9.2
Amphibia,Anura,Hylidae,Hyla versicolor (4n),Eastern gray tree frog,10.3
Amphibia,Anura,Hylidae,Litoria bicolor,Northern dwarf tree frog,4.79
Amphibia,Anura,Hylidae,Osteocephalus taurinus,Tree frog,2.4
Amphibia,Anura,Hylidae,Osteopilus brunneus,Jamaican laughing frog,1.83
Amphibia,Anura,Hylidae,Osteopilus septentrionalis,Cuban tree frog,1.95
Amphibia,Anura,Hylidae,Phrynohyas venulosa,Veined tree frog,3.35
Amphibia,Anura,Hylidae,Phyllomedusa bicolor,Monkey frog,6.75
Amphibia,Anura,Hylidae,Phyllomedusa burmeisteri,Burmeister's Monkey frog,6.58
Amphibia,Anura,Hylidae,Phyllomedusa burmeisteri (4n),Burmeister's Monkey frog,13.02
Amphibia,Anura,Hylidae,Phyllomedusa cf. bicolor,Monkey frog,7.79
Amphibia,Anura,Hylidae,Pseudacris brimleyi,Brimley's chorus frog,4.14
Amphibia,Anura,Hylidae,Pseudacris crucifer,Spring peeper,3.62
Amphibia,Anura,Hylidae,Pseudacris nigrita,Southern chorus frog,4.05
Amphibia,Anura,Hylidae,Pseudacris ocularis,Little grass frog,4.6
Amphibia,Anura,Hylidae,Pseudacris ornata,Ornate chrous frog,3.82
Amphibia,Anura,Hylidae,Pseudacris regilla,Pacific chorus frog,3.81
Amphibia,Anura,Hylidae,Pseudacris triseriata,Western chorus frog,4.37
Amphibia,Anura,Hylidae,Pseudis paradoxa,Paradox frog,1.54
Amphibia,Anura,Hylidae,Scinax fuscomarginatus,Tree frog,2.28
Amphibia,Anura,Hylidae,Scinax ruber,Tree frog,2.79
Amphibia,Anura,Hylidae,Scinax ruber,Tree frog,3
Amphibia,Anura,Hylidae,Scinax ruber,Tree frog,4.35
Amphibia,Anura,Hylidae,Scinax x-signatus,Tree frog,3.76
Amphibia,Anura,Hyperoliidae,Afrixalus fornasini,Fornasini's spiny reed frog,5.57
Amphibia,Anura,Hyperoliidae,Heterixalus betsileo,Frog,4.25
Amphibia,Anura,Hyperoliidae,Heterixalus madagascariensis,Blue back frog,4.65
Amphibia,Anura,Hyperoliidae,Heterixalus madagascariensis,Blue back frog,5
Amphibia,Anura,Hyperoliidae,Heterixalus variabilis,Frog,5.55
Amphibia,Anura,Hyperoliidae,Hyperolius concolor,Frog,5.1
Amphibia,Anura,Hyperoliidae,Hyperolius marginatus,Margined sedge frog,4.89
Amphibia,Anura,Hyperoliidae,Hyperolius marmoratus,Marbled reed frog,5.09
Amphibia,Anura,Hyperoliidae,Hyperolius marmoratus,Painted reed frog,4.38
Amphibia,Anura,Hyperoliidae,Hyperolius nasutus,Long-nosed reed frog,3.81
Amphibia,Anura,Hyperoliidae,Hyperolius pusillus,Transparent pigmy sedge frog,3.38
Amphibia,Anura,Hyperoliidae,Hyperolius sp.,Frog,1.4
Amphibia,Anura,Hyperoliidae,Kassina senegalensis,Senegal kassina,4.47
Amphibia,Anura,Leiopelmatidae,Leiopelma archeyi,Archey's frog,8.44
Amphibia,Anura,Leiopelmatidae,Leiopelma hochstetteri,Hochstetter's frog,8.63
Amphibia,Anura,Leptodactylidae,Ceratophrys aurita (8n),Brazilian horned frog,5.99
Amphibia,Anura,Leptodactylidae,Ceratophrys aurita (8n),Brazilian horned frog,6.34
Amphibia,Anura,Leptodactylidae,Ceratophrys calcarata,Columbian horned frog,1.89
Amphibia,Anura,Leptodactylidae,Ceratophrys calcarata,Columbian horned frog,2.75
Amphibia,Anura,Leptodactylidae,Ceratophrys ornata (8n),Ornate horned frog,13.4
Amphibia,Anura,Leptodactylidae,Cycloramphus asper,Frog,1.54
Amphibia,Anura,Leptodactylidae,Cycloramphus dubius,Frog,1.75
Amphibia,Anura,Leptodactylidae,Eleutherodactylus abbotti,Tuck-wheep eleuth,4.71
Amphibia,Anura,Leptodactylidae,Eleutherodactylus antillensis,Red-eyed coqui,4.19
Amphibia,Anura,Leptodactylidae,Eleutherodactylus chiastonotus,Eleuth,3.14
Amphibia,Anura,Leptodactylidae,Eleutherodactylus eneidae,Elegant coqui,3.57
Amphibia,Anura,Leptodactylidae,Eleutherodactylus gossei,Gosse's eleuth,2.31
Amphibia,Anura,Leptodactylidae,Eleutherodactylus heminota,Half-stripe bromeliad eleuth,3.3
Amphibia,Anura,Leptodactylidae,Eleutherodactylus marmoratus,Eleuth,2.9
Amphibia,Anura,Leptodactylidae,Eleutherodactylus martinicensis,Martinique eleuth,2.41
Amphibia,Anura,Leptodactylidae,Eleutherodactylus pantoni,Western yellow-spotted eleuth,2.92
Amphibia,Anura,Leptodactylidae,Eleutherodactylus planirostris,Cuban flathead eleuth,4.56
Amphibia,Anura,Leptodactylidae,Eleutherodactylus richmondi,Bronze coqui,3.93
Amphibia,Anura,Leptodactylidae,Leptodactylus fuscus,Foam-nesting frog,2.45
Amphibia,Anura,Leptodactylidae,Leptodactylus fuscus,Foam-nesting frog,2.85
Amphibia,Anura,Leptodactylidae,Leptodactylus knudseni,Frog,2.95
Amphibia,Anura,Leptodactylidae,Leptodactylus knudseni,Frog,4.6
Amphibia,Anura,Leptodactylidae,Leptodactylus melanonotus,Small-headed tree frog,2.52
Amphibia,Anura,Leptodactylidae,Leptodactylus ocellatus,Frog,1.51
Amphibia,Anura,Leptodactylidae,Leptodactylus pentadactylus,Smokey jungle frog,4.47
Amphibia,Anura,Leptodactylidae,Leptodactylus sp.,Frog,3.41
Amphibia,Anura,Leptodactylidae,Odontophrynus americanus (4n),Frog,3.09
Amphibia,Anura,Leptodactylidae,Odontophrynus americanus (4n),Frog,3.4
Amphibia,Anura,Leptodactylidae,Odontophrynus carvalhoi,Frog,1.58
Amphibia,Anura,Leptodactylidae,Odontophrynus cultripes,Frog,2.07
Amphibia,Anura,Leptodactylidae,Odontophrynus cultripes,Frog,2.24
Amphibia,Anura,Leptodactylidae,Odontophrynus occidentalis,Frog,1.58
Amphibia,Anura,Leptodactylidae,Physalaemus fuscomaculatus,Frog,1.86
Amphibia,Anura,Leptodactylidae,Physalaemus nattereri,Frog,1.75
Amphibia,Anura,Leptodactylidae,Pleurodema bibroni,Frog,2.56
Amphibia,Anura,Leptodactylidae,Proceratophrys appendiculata,Frog,2.15
Amphibia,Anura,Leptodactylidae,Proceratophrys boiei,Frog,2.42
Amphibia,Anura,Leptodactylidae,Pseudopaludicola mystacalis,Frog,2.42
Amphibia,Anura,Leptodactylidae,Zachaenus parvulus,Frog,1.93
Amphibia,Anura,Megophryidae,Leptolalax nahangensis,Frog,2.73
Amphibia,Anura,Megophryidae,Leptolalax pelodytoides,Frog,2.57
Amphibia,Anura,Megophryidae,Megophrys montana,Asian horned frog,2.79
Amphibia,Anura,Megophryidae,Xenophrys lateralis,Southeast Asian horned frog,3.47
Amphibia,Anura,Microhylidae,Anodonthyla boulengerii,Frog,4.75
Amphibia,Anura,Microhylidae,Breviceps mossambicus,Rain frog,2.49
Amphibia,Anura,Microhylidae,Dermatonotus muelleri,Mueller's narrowmouth toad,1.54
Amphibia,Anura,Microhylidae,Elachistocleis ovalis,Common oval frog,2.04
Amphibia,Anura,Microhylidae,Elachistocleis ovalis,Common oval frog,5.39
Amphibia,Anura,Microhylidae,Gastrophryne carolinensis,Eastern narrowmouth toad,2.78
Amphibia,Anura,Microhylidae,Gastrophryne carolinensis,Eastern narrowmouth toad,4.87
Amphibia,Anura,Microhylidae,Gastrophryne carolinensis,Eastern narrowmouth toad,6.3
Amphibia,Anura,Microhylidae,Microhyla ornata,Narrowmouth toad,5.15
Amphibia,Anura,Microhylidae,Platypelis barbouri,Frog,6.3
Amphibia,Anura,Microhylidae,Platypelis grandis,Frog,5.45
Amphibia,Anura,Microhylidae,Platypelis tuberifera,Frog,5.75
Amphibia,Anura,Microhylidae,Plethodontohyla notosticta,Frog,5.05
Amphibia,Anura,Microhylidae,Uperodon systoma,Frog,2
Amphibia,Anura,Myobatrachidae,Adelotus brevis,Tusked frog,2.1
Amphibia,Anura,Myobatrachidae,Crinia signifera,Clicking froglet,2.12
Amphibia,Anura,Myobatrachidae,Crinia sloanei,Sloane's froglet,1.85
Amphibia,Anura,Myobatrachidae,Limnodynastes dumerilii,Eastern banjo frog,3.25
Amphibia,Anura,Myobatrachidae,Limnodynastes fletcheri,Long-thumbed frog,3.79
Amphibia,Anura,Myobatrachidae,Limnodynastes ornatus,Ornate burrowing frog,0.95
Amphibia,Anura,Myobatrachidae,Limnodynastes peronii,Striped marsh frog,1.3
Amphibia,Anura,Myobatrachidae,Limnodynastes peronii,Striped marsh frog,2.25
Amphibia,Anura,Myobatrachidae,Limnodynastes peronii,Striped marsh frog,3.08
Amphibia,Anura,Myobatrachidae,Limnodynastes tasmaniensis,Spotted marsh frog,2.4
Amphibia,Anura,Myobatrachidae,Limnodynastes terraereginae,Scarlet-sided pobblebonk,1.95
Amphibia,Anura,Myobatrachidae,Neobatrachus pictus,Painted burrowing frog,2.77
Amphibia,Anura,Myobatrachidae,Neobatrachus sudelli (4n),Sudell's frog,5.23
Amphibia,Anura,Myobatrachidae,Neobatrachus sutor (4n),Shoemaker frog,5.23
Amphibia,Anura,Myobatrachidae,Pseudophryne bibronii,Bibroni's toadlet,8.75
Amphibia,Anura,Myobatrachidae,Uperoleia marmorata,Marbled toadlet,2.07
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,3.9
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,4.1
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,4.12
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,4.47
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,4.59
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,5.1
Amphibia,Anura,Pelobatidae,Pelobates fuscus,European spadefoot toad,5.49
Amphibia,Anura,Pelobatidae,Pelobates syriacus,Syrian spadefoot toad,3.64
Amphibia,Anura,Pelobatidae,Pelobates syriacus,Syrian spadefoot toad,3.96
Amphibia,Anura,Pelobatidae,Pelobates syriacus,Syrian spadefoot toad,4.5
Amphibia,Anura,Pelobatidae,Pelodytes caucasicus,Caucasian parsley frog,2
Amphibia,Anura,Pelobatidae,Pelodytes caucasicus,Caucasian parsley frog,2.54
Amphibia,Anura,Pelobatidae,Pelodytes punctatus,Parsley frog,2.44
Amphibia,Anura,Pelobatidae,Scaphiopus couchii,Couch's spadefoot toad,1.01
Amphibia,Anura,Pelobatidae,Scaphiopus couchii,Couch's spadefoot toad,1.07
Amphibia,Anura,Pelobatidae,Scaphiopus couchii,Couch's spadefoot toad,1.8
Amphibia,Anura,Pelobatidae,Scaphiopus holbrookii,Eastern spadefoot toad,1.34
Amphibia,Anura,Pelobatidae,Scaphiopus holbrookii,Eastern spadefoot toad,1.4
Amphibia,Anura,Pelobatidae,Scaphiopus holbrookii,Eastern spadefoot toad,1.41
Amphibia,Anura,Pelobatidae,Spea bombifrons,Plains spadefoot toad,1.07
Amphibia,Anura,Pelobatidae,Spea bombifrons,Plains spadefoot toad,1.4
Amphibia,Anura,Pelobatidae,Spea hammondii,Western spadefoot toad,1.27
Amphibia,Anura,Pelobatidae,Spea hammondii,Western spadefoot toad,1.34
Amphibia,Anura,Pelobatidae,Spea hammondii,Western spadefoot toad,1.55
Amphibia,Anura,Pelobatidae,Spea hammondii,Western spadefoot toad,2.34
Amphibia,Anura,Pipidae,Pipa pipa,Surinam toad,2.43
Amphibia,Anura,Pipidae,Silurana tropicalis,Western clawed frog,1.5
Amphibia,Anura,Pipidae,Silurana tropicalis,Western clawed frog,1.74
Amphibia,Anura,Pipidae,Silurana tropicalis,Western clawed frog,1.93
Amphibia,Anura,Pipidae,Xenopus borealis,Clawed frog,3.48
Amphibia,Anura,Pipidae,Xenopus borealis,Clawed frog,3.56
Amphibia,Anura,Pipidae,Xenopus borealis,Clawed frog,3.65
Amphibia,Anura,Pipidae,Xenopus clivii,Clawed frog,3.9
Amphibia,Anura,Pipidae,Xenopus clivii,Clawed frog,4.14
Amphibia,Anura,Pipidae,Xenopus fraseri,Clawed frog,3.11
Amphibia,Anura,Pipidae,Xenopus gilli,Cape clawed frog,3.11
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.09
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.1
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.11
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.15
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.15
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.59
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.69
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,3.85
Amphibia,Anura,Pipidae,Xenopus muelleri,Mueller's clawed frog,3.52
Amphibia,Anura,Pipidae,Xenopus muelleri,Mueller's clawed frog,3.65
Amphibia,Anura,Pipidae,Xenopus muelleri,Mueller's clawed frog,3.72
Amphibia,Anura,Pipidae,Xenopus muelleri,Mueller's clawed frog,4.08
Amphibia,Anura,Pipidae,Xenopus ruwenzoriensis,Clawed frog,7.84
Amphibia,Anura,Pipidae,Xenopus ruwenzoriensis,Clawed frog,7.95
Amphibia,Anura,Pipidae,Xenopus vestitus,Clawed frog,5.91
Amphibia,Anura,Pipidae,Xenopus vestitus,Clawed frog,6.28
Amphibia,Anura,Ranidae,Afrana angolensis,Angola river frog,2.61
Amphibia,Anura,Ranidae,Hoplobatrachus rugulosus - group 1,Frog,3.76
Amphibia,Anura,Ranidae,Hoplobatrachus rugulosus - group 2,Frog,2.43
Amphibia,Anura,Ranidae,Hoplobatrachus tigerinus,Indian bullfrog,5.71
Amphibia,Anura,Ranidae,Hoplobatrachus tigerinus - group 1,Indian bullfrog,4.55
Amphibia,Anura,Ranidae,Hoplobatrachus tigerinus - group 2,Indian bullfrog,4.94
Amphibia,Anura,Ranidae,Hoplobatrachus tigerinus - group 3,Indian bullfrog,5.1
Amphibia,Anura,Ranidae,Limnonectes limnocharis,Japanese brown frog,4.15
Amphibia,Anura,Ranidae,Paa boulengeri,Frog,3.06
Amphibia,Anura,Ranidae,Paa boulengeri,Frog,3.11
Amphibia,Anura,Ranidae,Phrynobatrachus sp.,South African puddle frog,2.58
Amphibia,Anura,Ranidae,Ptychadena mascareniensis,Mascarene rocket frog,3.35
Amphibia,Anura,Ranidae,Ptychadena mossambica,Mozambique ridged frog,2.61
Amphibia,Anura,Ranidae,Ptychadena sp.,Ridged frog,1.77
Amphibia,Anura,Ranidae,Ptychadena sp.1,Frog,2.21
Amphibia,Anura,Ranidae,Ptychadena sp.2,Frog,2.38
Amphibia,Anura,Ranidae,Pyxicephalus adspersus,Giant bullfrog,1.4
Amphibia,Anura,Ranidae,Rana amurensis,Siberian frog,5.27
Amphibia,Anura,Ranidae,Rana areolata,Crawfish frog,4.49
Amphibia,Anura,Ranidae,Rana areolata,Crawfish frog,6.43
Amphibia,Anura,Ranidae,Rana areolata,Crawfish frog,6.43
Amphibia,Anura,Ranidae,Rana arvalis,Moor frog,4.65
Amphibia,Anura,Ranidae,Rana arvalis,Moor frog,5.15
