Family,Genus,Species,Subspecies,Cvalue,Source
Asteraceae,Cheirolophus,intybaceus,Eivissa,0.76,"Garnatje et al.,2007"
Asteraceae,Cheirolophus,lagunae,,0.76,"Garnatje et al.,2007"
Asteraceae,Galinsoga,parviflora,,0.76,"Pustahija et al.,2013"
Asteraceae,Cheirolophus,mansanetianus,,0.76,"Garcia et al.,2008"
Asteraceae,Bidens,vulgata,,0.77,"Bai et al.,2012"
Asteraceae,Cheirolophus,benoistii,,0.78,"Garnatje et al.,2007"
Asteraceae,Staehelina,dubia,,0.79,"Garnatje et al.,2004"
Asteraceae,Cheirolophus,mauritanicus,,0.79,"Garnatje et al.,2007"
Asteraceae,Centaurea,procurrens,,0.79,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Vernonia,incana,,0.79,"Vega & Dematteis,2017"
Asteraceae,Cheirolophus,sempervirens,,0.8,"Garnatje et al.,2007"
Asteraceae,Volutaria,canariensis,,0.8,"Suda et al.,2003"
Asteraceae,Pallenis,spinosa,,0.8,"Garcia et al.,2013"
Asteraceae,Filago,mareotica,,0.8,"Andrés-Sánchez et al.,2013"
Asteraceae,Silybum,marianum,(pop. Llanars),0.81,"Garcia et al.,2013"
Asteraceae,Centaurea,micranthos,,0.82,"Pustahija et al.,2013"
Asteraceae,Centaurea,graeca,,0.83,"Siljak-Yakovlev et al.,2010"
Asteraceae,Cheirolophus,tananicus,,0.83,"Garnatje et al.,2007"
Asteraceae,Carduus,crispus,subsp. occidentalis Chass. & Arènes,0.83,"Garcia et al.,2013"
Asteraceae,Centaurea,musimonum,,0.83,"Benamara-Bellagha et al.,2014"
Asteraceae,Centaurea,deusta,,0.84,"Siljak-Yakovev et al.,2005"
Asteraceae,Centaurea,alba,,0.84,"Siljak-Yakovlev et al.,2010"
Asteraceae,Hypochaeris,cretensis,,0.84,"Cerbah M et al.,1999"
Asteraceae,Cheirolophus,uliginosus,,0.85,"Garnatje et al.,2007"
Asteraceae,Euthamia,graminifolia,var. graminifolia,0.85,"Sonnier,2016"
Asteraceae,Solidago,riddellii,,0.85,"Sonnier,2016"
Asteraceae,Leontodon,taraxacoides,,0.9,"Callimassia,1993"
Asteraceae,Machaeranthera,brevilingulata,,0.9,"Stucky and Jackson,1975"
Asteraceae,Haplopappus,ravenii,,0.9,"Jackson et al.,1993"
Asteraceae,Vieraea,laevigata,,0.85,"Suda et al.,2005"
Asteraceae,Leontodon,tuberosus,,0.85,"Siljak-Yakovlev et al.,2010"
Asteraceae,Filago,hispanica,,0.85,"Andrés-Sánchez et al.,2013"
Asteraceae,Nauplius,sericeus,,0.86,"Suda et al.,2003"
Asteraceae,Nauplius,intermedius,,0.86,"Suda et al.,2005"
Asteraceae,Symphyotrichum,shortii,,0.86,"Bai et al.,2012"
Asteraceae,Amphoricarpos,neumayeri,,0.87,"Garnatje et al.,2004"
Asteraceae,Centaurea,solstitialis,,0.87,"Bancheva & Greilhuber,2006"
Asteraceae,Crepis,bulbosa,,0.9,"Brown and Jone,1975"
Asteraceae,Petasites,hybridus,,0.9,"Grime and Mowforth,1982"
Asteraceae,Allagopappus,dichotomus,,0.88,"Suda et al.,2003"
Asteraceae,Calendula,maroccana,subsp. maroccana,0.88,"Nora et al.,2013"
Asteraceae,Solidago,graminifolia,,0.88,"Sliwinska & Thiem,2007"
Asteraceae,Centaurea,ovina,subsp. besserana,0.88,"Bancheva & Greilhuber,2006"
Asteraceae,Centaurea,stoebe,,0.88,"Bancheva & Greilhuber,2006"
Asteraceae,Taraxacum,linearisquameum,,0.89,"Závesky et al.,2005"
Asteraceae,Centaurea,cuneifolia,,0.89,"Bancheva & Greilhuber,2006"
Asteraceae,Erigeron,philadelphicus,,0.9,"Bai et al.,2012"
Asteraceae,Symphyotrichum,puniceum,,0.9,"Bai et al.,2012"
Asteraceae,Crepis,fuliginosa,,0.9,"Wallace et al.,1972"
Asteraceae,Senecio,squalidus,,0.9,"Bennett and Smith,1976"
Asteraceae,Centaurea,diffusa,,0.9,"Bancheva & Greilhuber,2006"
Asteraceae,Jasonia,tuberosa,,0.9,"Garcia et al.,2013"
Asteraceae,Melampodium,rosei,,0.91,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Inula,graveolens,,0.91,"Garcia et al.,2013"
Asteraceae,Melampodium,tenellum,,0.92,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Centaurea,calcitrapa,,0.93,"Garcia et al.,2013"
Asteraceae,Melampodium,cupulatum,,0.93,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Carduus,nutans,subsp. granatensis (Willk.) O.Bolòs & Vigo,0.93,"Garcia et al.,2013"
Asteraceae,Centaurea,melitensis,,0.94,"Garcia et al.,2013"
Asteraceae,Solidago,ptarmicoides,,0.95,"Bai et al.,2012"
Asteraceae,Leontopodium,dedekensii,,0.95,"Russell et al.,2013"
Asteraceae,Melampodium,appendiculatum,,0.95,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Leontodon,incanus,,0.96,"Temsch et al.,2010"
Asteraceae,Taraxacum,glaciale,,0.96,"Závesky et al.,2005"
Asteraceae,Solidago,ulmifolia,,0.96,"Bai et al.,2012"
Asteraceae,Rhagadiolus,stellatus,,0.96,"Garcia et al.,2013"
Asteraceae,Leontopodium,himalayanum,,0.97,"Russell et al.,2013"
Asteraceae,Gnaphalium,luteo-album,,0.97,"Garcia et al.,2013"
Asteraceae,Senecio,aetnensis,,0.9,"Bennett and Smith,1976"
Asteraceae,Carduus,defloratus,subsp. carlinifolius (Lam.) Ces.,0.98,"Garcia et al.,2013"
Asteraceae,Urospermum,dalechampii,,0.98,"Garcia et al.,2013"
Asteraceae,Senecio,palmensis,,0.98,"Suda et al.,2003"
Asteraceae,Solidago,canadensis,subsp. canadensis,0.98,"Garcia et al.,2013"
Asteraceae,Pulicaria,dysenterica,,0.99,"Garcia et al.,2013"
Asteraceae,Taraxacum,dissectum,,0.99,"Garcia et al.,2013"
Asteraceae,Lamyropsis,cynaroides,,0.99,"Garcia et al.,2013"
Asteraceae,Arctium,lappa,,1,"Zhang et al.,2013"
Asteraceae,Melampodium,moctezumum,,1,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Galactites,tomentosus,,1,"Garcia et al.,2013"
Asteraceae,Lactuca,capensis,,1.01,"Doležalová et al.,2002"
Asteraceae,Crepis,pantocseki,,1.01,"Siljak-Yakovlev et al.,2010"
Asteraceae,Symphyotrichum,prenanthoides,,1.01,"Bai et al.,2012"
Asteraceae,Centaurea,kernerana,,1.02,"Bancheva & Greilhuber,2006"
Asteraceae,Centaurea,aspera,,1.02,"Garcia et al.,2013"
Asteraceae,Lactuca,palmensis,,1.03,"Suda et al.,2003"
Asteraceae,Schizogyne,glaberrima,,1.03,"Suda et al.,2003"
Asteraceae,Schizogyne,sericea,,1.03,"Suda et al.,2003"
Asteraceae,Solidago,rigida,var. rigida,1.03,"Bai et al.,2012"
Asteraceae,Calendula,stellata,,1.03,"Nora et al.,2013"
Asteraceae,Sonchus,tenerrimus,,1.03,"Garcia et al.,2013"
Asteraceae,Taraxacum,hoppeanum,,1.04,"Siljak-Yakovlev et al.,2010"
Asteraceae,Centaurea,drabifolia,subsp. libanotica (Boiss.) Wagenitz,1.04,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Leontodon,crispus,,1.05,"Siljak-Yakovlev et al.,2010"
Asteraceae,Centaurea,weldeniana,,1.05,"Koutecký,2012"
Asteraceae,Senecio,pterophorus,,1.1,"Lawrence,1985"
Asteraceae,Solidago,hispida,,1.05,"Bai et al.,2012"
Asteraceae,Leontopodium,artemisiifolium,,1.05,"Russell et al.,2013"
Asteraceae,Melampodium,pilosum,,1.05,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Doronicum,germanicum,,1.06,"Pustahija et al.,2013"
Asteraceae,Cirsium,heterophyllum,,1.07,"Bureš et al.,2004"
Asteraceae,Xeranthemum,annuum,,1.07,"Garnatje et al.,2004"
Asteraceae,Centaurea,phrygia,,1.07,"Dydak et al.,2009"
Asteraceae,Crepis,zacintha,,1.1,"Brown and Jone,1975"
Asteraceae,Hieracium,piloselloides,,1.1,"Bachmann et al.,1975"
Asteraceae,Senecio,inaequidens (s.l.),,1.08,"Lafuma et al.,2003"
Asteraceae,Stemmacantha,cynaroides,,1.08,"Suda et al.,2005"
Asteraceae,Centaurea,visiani,subsp. pumilla,1.08,"Siljak-Yakovev et al.,2005"
Asteraceae,Centaurea,argentea,subsp. macrothysana (Rech.f.) Turland & L.Chilton (pop. Cr-5),1.08,"Garcia et al.,2013"
Asteraceae,Centaurea,stenolepis,,1.08,"Bancheva & Greilhuber,2006"
Asteraceae,Centaurea,nervosa,subsp. nervosa,1.08,"Bancheva & Greilhuber,2006"
Asteraceae,Centaurea,cuspidata,,1.09,"Siljak-Yakovev et al.,2005"
Asteraceae,Centaurea,gloriosa,var. multiflora,1.09,"Siljak-Yakovev et al.,2005"
Asteraceae,Centaurea,parilica,,1.09,"Bancheva & Greilhuber,2006"
Asteraceae,Cyanus,thirkei,,1.09,"Bancheva & Greilhuber,2006"
Asteraceae,Cirsium,monspessulanum,,1.09,"Garcia et al.,2013"
Asteraceae,Phagnalon,umbelliforme,,1.1,"Suda et al.,2003"
Asteraceae,Senecio,rupestris,,1.1,"Bennett and Smith,1976"
Asteraceae,Ageratina,altissima,,1.1,"Bai et al.,2012"
Asteraceae,Bellium,bellidioides,,1.1,"Garcia et al.,2013"
Asteraceae,Phagnalon,bennettii,,1.1,"Garcia et al.,2013"
Asteraceae,Phagnalon,graecum,,1.1,"Garcia et al.,2013"
Asteraceae,Staehelina,fruticosa,,1.11,"Garnatje et al.,2004"
Asteraceae,Cynara,scolymus,cv. Camus de Bretagne,1.11,"Marie & Brown,1993"
Asteraceae,Taraxacum,bessarabicum,,1.11,"Závesky et al.,2005"
Asteraceae,Crepis,pusilla,,1.11,"Enke et al.,2011"
Asteraceae,Cirsium,discolor,,1.11,"Bai et al.,2012"
Asteraceae,Phagnalon,lowei,,1.12,"Garcia et al.,2013"
Asteraceae,Cirsium,canum,,1.12,"Bureš et al.,2004"
Asteraceae,Symphyotrichum,ericoides,,1.12,"Bai et al.,2012"
Asteraceae,Melampodium,longipes,,1.12,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Centaurea,nigra,,1.12,"Garcia et al.,2013"
Asteraceae,Brachycome,dichromosomatica,,1.1,"Houben et al.,2000"
Asteraceae,Carthamus,leucocaulos,,1.13,"Garnatje et al.,2006"
Asteraceae,Picris,hieracioides,,1.13,"Slovák et al.,2009"
Asteraceae,Melampodium,diffusum,,1.13,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Taraxacum,tenuifolium,,1.14,"Závesky et al.,2005"
Asteraceae,Solidago,virgaurea,,1.13,"Temsch et al.,2010"
Asteraceae,Gochnatia,foliolosa,(pop. Xile-1),1.14,"Garcia et al.,2013"
Asteraceae,Inula,viscosa,,1.14,"Garcia et al.,2013"
Asteraceae,Solidago,kralii,,1.14,"Peirson et al.,2012"
Asteraceae,Hypochaeris,oligocephala,,1.14,"Suda et al.,2003"
Asteraceae,Crepis,leontodontoides,,1.14,"Enke et al.,2011"
Asteraceae,Solidago,simplex,subsp. simplex var. simplex,1.14,"Peirson et al.,2012"
Asteraceae,Leontopodium,cf. stracheyi,,1.14,"Russell et al.,2013"
Asteraceae,Phagnalon,saxatile,,1.15,"Garcia et al.,2013"
Asteraceae,Agoseris,heterophylla,,1.1,"Price and Bachmann,1975"
Asteraceae,Cirsium,muticum,,1.15,"Bai et al.,2012"
Asteraceae,Melampodium,americanum,,1.15,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Cirsium,oleraceum,,1.16,"Bureš et al.,2004"
Asteraceae,Leontodon,autumnalis,,1.16,"Siljak-Yakovlev et al.,2010"
Asteraceae,Cirsium,erisithales,,1.17,"Bureš et al.,2004"
Asteraceae,Centaurea,rupestris s.l.,,1.17,"Siljak-Yakovev et al.,2005"
Asteraceae,Hypochaeris,laevigata,,1.17,"Cerbah M et al.,1999"
Asteraceae,Lapsana,communis,,1.2,"Band,1984"
Asteraceae,Taraxacum,vulgare,(syn. T. officinale),1.2,"Barlow,1981"
Asteraceae,Tagetes,patula,,1.2,"Bennett et al.,1999"
Asteraceae,Lactuca,tenerrima,,1.18,"Doležalová et al.,2002"
Asteraceae,Solidago,plumosa,,1.18,"Peirson et al.,2012"
Asteraceae,Ambrosia,artemisiifolia,,1.18,"Pustahija et al.,2013"
Asteraceae,Microseris,douglasii,lab strain PBA26,1.2,"Michaelson et al.,1991"
Asteraceae,Picris,echioides,,1.2,"Bachmann et al.,1975"
Asteraceae,Cirsium,rivulare,,1.2,"Bureš et al.,2004"
Asteraceae,Cirsium,pitcheri,,1.2,"Bai et al.,2012"
Asteraceae,Cirsium,pannonicum,,1.22,"Bureš et al.,2004"
Asteraceae,Carthamus,nitidus,,1.22,"Garnatje et al.,2006"
Asteraceae,Solidago,speciosa,var. rigidiuscula Torr. & A.Gray,1.22,"Bai et al.,2012"
Asteraceae,Machaeranthera,tenuis,,1.2,"Stucky and Jackson,1975"
Asteraceae,Senecio,vernalis,,1.2,"Bennett and Smith,1976"
Asteraceae,Vernonia,echioides,,1.23,"Vega & Dematteis,2017"
Asteraceae,Onopordum,acanthium,,1.24,"Garcia et al.,2013"
Asteraceae,Cyanus,napuliferus,,1.24,"Bancheva & Greilhuber,2006"
Asteraceae,Aster,pilosus,,1.24,"Garcia et al.,2013"
Asteraceae,Vernonia,fasciculata,subsp. fasciculata,1.25,"Sonnier,2016"
Asteraceae,Dendroseris,litoralis,,1.3,"Lack et al.,1978"
Asteraceae,Dendroseris,micrantha,,1.3,"Lack et al.,1978"
Asteraceae,Echinops,strigosus,,1.25,"Garnatje et al.,2004"
Asteraceae,Brickellia,eupatoroides,,1.25,"Bai et al.,2012"
Asteraceae,Solidago,spathulata,,1.25,"Peirson et al.,2012"
Asteraceae,Vernonanthura,chaquensis,,1.25,"Vega & Dematteis,2017"
Asteraceae,Cyanus,tuberosus,,1.26,"Bancheva & Greilhuber,2006"
Asteraceae,Cirsium,spinosissimum,,1.27,"Bureš et al.,2004"
Asteraceae,Crepis,japonica,,1.27,"Garcia et al.,2013"
Asteraceae,Helichrysum,obconicum,,1.27,"Garcia et al.,2013"
Asteraceae,Taraxacum,officinale,,1.27,"Pustahija et al.,2013"
Asteraceae,Helichrysum,melaleucum,,1.27,"Garcia et al.,2013"
Asteraceae,Stevia,rebaudiana,,1.27,"Garcia et al.,2013"
Asteraceae,Taraxacum,officinale,,1.28,"Vidic et al.,2009"
Asteraceae,Artemisia,mauiensis,,1.28,"Garcia et al.,2013"
Asteraceae,Onopordum,carduiforme,,1.28,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Cirsium,palustre,,1.29,"Bureš et al.,2004"
Asteraceae,Telekia,speciosa,,1.29,"Kubešová et al.,2010"
Asteraceae,Hypochaeris,robertia,,1.3,"Cerbah et al.,1995"
Asteraceae,Symphyotrichum,sericeum,,1.3,"Bai et al.,2012"
Asteraceae,Cirsium,acaule,,1.31,"Bureš et al.,2004"
Asteraceae,Taraxacum,brachyglossum,,1.31,"Závesky et al.,2005"
Asteraceae,Sonchus,radicatus,,1.31,"Suda et al.,2003"
Asteraceae,Carthamus,oxyacantha,,1.31,"Garnatje et al.,2006"
Asteraceae,Cyanus,strictus,,1.31,"Olšavská et al.,2012"
Asteraceae,Bidens,trichosperma,,1.32,"Bai et al.,2012"
Asteraceae,Centaurea,crocodylium,,1.32,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Senecio,leucanthemifolius,,1.3,"Bennett and Smith,1976"
Asteraceae,Carthamus,persicus,,1.33,"Garnatje et al.,2006"
Asteraceae,Cichorium,intybus,,1.33,"Pustahija et al.,2013"
Asteraceae,Tolpis,laciniata,,1.33,"Suda et al.,2003"
Asteraceae,Hypochaeris,radicata,,1.34,"Cerbah M et al.,1999"
Asteraceae,Centaurea,tuberosa,,1.35,"Siljak-Yakovev et al.,2005"
Asteraceae,Senecio,chrysanthemifolius,,1.3,"Bennett and Smith,1976"
Asteraceae,Sonchus,gummifer,,1.35,"Suda et al.,2005"
Asteraceae,Carthamus,dentatus,subsp. ruber,1.35,"Garnatje et al.,2006"
Asteraceae,Cyanus,axillaris,,1.35,"Olšavská et al.,2012"
Asteraceae,Carthamus,gypsicola,,1.36,"Garnatje et al.,2006"
Asteraceae,Hypochaeris,achyrophorus,,1.36,"Cerbah M et al.,1999"
Asteraceae,Carthamus,tenuis,,1.37,"Garnatje et al.,2006"
Asteraceae,Carduus,carlinoides,,1.37,"Garcia et al.,2013"
Asteraceae,Vernonanthura,petiolaris,,1.37,"Vega & Dematteis,2017"
Asteraceae,Senecio,flavus,,1.4,"Bennett and Smith,1976"
Asteraceae,Tolpis,webbii,,1.38,"Suda et al.,2003"
Asteraceae,Sonchus,hierrensis,var. benehoavensis Svent.,1.38,"Suda et al.,2005"
Asteraceae,Erigeron,acer,,1.38,"Garcia et al.,2013"
Asteraceae,Tolpis,crassiuscula,,1.38,"Suda et al.,2005"
Asteraceae,Centaurea,montana,,1.38,"Siljak-Yakovlev et al.,2010"
Asteraceae,Cyanus,dominii,subsp. dominii,1.39,"Olšavská et al.,2012"
Asteraceae,Helichrysum,stoechas,,1.39,"Garcia et al.,2013"
Asteraceae,Carthamus,tinctorius,,1.4,"Garnatje et al.,2006"
Asteraceae,Calendula,officinalis,,1.4,"Garcia et al.,2013"
Asteraceae,Cyanus,triumfettii,subsp. adscendens,1.4,"Bancheva & Greilhuber,2006"
Asteraceae,Symphyotrichum,novae-angliae,,1.4,"Bai et al.,2012"
Asteraceae,Cyanus,adscendens,,1.41,"Olšavská et al.,2012"
Asteraceae,Cyanus,pinnatifidus,,1.41,"Olšavská et al.,2012"
Asteraceae,Carthamus,palaestinus,,1.41,"Garnatje et al.,2006"
Asteraceae,Centaurea,dubia,subsp. nigrescens (Willd.) Hayek,1.41,"Pustahija et al.,2013"
Asteraceae,Cirsium,arvense,,1.42,"Bureš et al.,2004"
Asteraceae,Tolpis,lagopoda,,1.42,"Suda et al.,2005"
Asteraceae,Leontodon,pyrenaicus,,1.4,"Bachmann et al.,1975"
Asteraceae,Microseris,elegans,,1.4,"Price and Bachmann,1975"
Asteraceae,Microseris,pygmaea,,1.4,"Bachmann et al.,1975"
Asteraceae,Taraxacum,serotinum,,1.43,"Závesky et al.,2005"
Asteraceae,Sonchus,acaulis,,1.43,"Suda et al.,2003"
Asteraceae,Centaurea,maroccana,,1.43,"Benamara-Bellagha et al.,2014"
Asteraceae,Sonchus,congestus,,1.44,"Suda et al.,2003"
Asteraceae,Sonchus,canariensis,subsp. canariensis,1.44,"Suda et al.,2005"
Asteraceae,Bellis,annua,,1.44,"Veselý et al.,2013"
Asteraceae,Tolpis,macrorrhiza,,1.44,"Garcia et al.,2013"
Asteraceae,Symphyotrichum,ontarionis,,1.45,"Dirkse et al.,2014"
Asteraceae,Reichardia,intermedia,,1.45,"Siljak-Yakovev et al.,1998"
Asteraceae,Symphyotrichum,lateriflorum,,1.46,"Bai et al.,2012"
Asteraceae,Vernonanthura,chamaedrys,,1.46,"Vega & Dematteis,2017"
Asteraceae,Sonchus,leptocephalus,,1.47,"Suda et al.,2005"
Asteraceae,Calycadenia,pauciflora,(race Tehama),1.5,"Bennett and Smith,1976"
Asteraceae,Carthamus,boissieri,,1.48,"Garnatje et al.,2006"
Asteraceae,Sonchus,capillaris,,1.48,"Suda et al.,2005"
Asteraceae,Picris,hispidissima,,1.48,"Slovák et al.,2009"
Asteraceae,Inula,verbascifolia,subsp. verbascifolia,1.49,"Vallès et al.,2014"
Asteraceae,Cirsium,brachycephalum,,1.49,"Bureš et al.,2004"
Asteraceae,Carthamus,anatolicus,,1.5,"Garnatje et al.,2006"
Asteraceae,Sonchus,ustulatus,,1.5,"Garcia et al.,2013"
Asteraceae,Tolpis,succulenta,,1.5,"Garcia et al.,2013"
Asteraceae,Krigia,virginica,,1.5,"Bachmann et al.,1975"
Asteraceae,Microseris,bigelovii,,1.5,"Price and Bachmann,1975"
Asteraceae,Reichardia,picroides,,1.5,"Šiljak-Yakovlev et al.,1998"
Asteraceae,Carthamus,glaucus,subsp. glaucus,1.5,"Garnatje et al.,2006"
Asteraceae,Serratula,pusilla,,1.5,"Bou Dagher-Kharrat et al.,2013"
Asteraceae,Vernonanthura,ferruginea,,1.5,"Vega & Dematteis,2017"
Asteraceae,Chondrilla,juncea,,1.51,"Garcia et al.,2013"
Asteraceae,Bellidiastrum,michelii,,1.52,"Temsch et al.,2010"
Asteraceae,Melampodium,nayaritense,,1.52,"Weiss-Schneeweiss et al.,2012"
Asteraceae,Centaurea,micranthos,,1.52,"Pustahija et al.,2013"
Asteraceae,Podanthus,mitiqui,,1.52,"Garcia et al.,2013"
Asteraceae,Sonchus,platylepis,,1.53,"Garcia et al.,2013"
Asteraceae,Carthamus,alexandrinus,,1.53,"Garnatje et al.,2006"
Asteraceae,Andryala,integrifolia,,1.53,"Garcia et al.,2013"
Asteraceae,Aster,squamatus,(pop. Catalonia),1.53,"Garcia et al.,2013"
Asteraceae,Chrysoprenanthes,pendula,,1.53,"Garcia et al.,2013"
Asteraceae,Lactuca,taraxacifolia,,1.54,"Doležalová et al.,2002"
Asteraceae,Hyoseris,radiata,,1.54,"Garcia et al.,2013"
Asteraceae,Coreopsis,bicolor,,1.6,"Olszewska and Osiecka,1983"
Asteraceae,Cosmos,bipinnatus,,1.5,"Ohri et al.,1988"
Asteraceae,Eclipta,prostrata,,1.6,"Bennett et al.,1998"
Asteraceae,Senecio,viscosus,,1.55,"Nagl et al.,1983"
Asteraceae,Erigeron,calderae,,1.55,"Suda et al.,2003"
Asteraceae,Vernonanthura,nudiflora,,1.55,"Vega & Dematteis,2017"
Asteraceae,Andryala,glandulosa,,1.56,"Garcia et al.,2013"
Asteraceae,Cyanus,achtarovii,,1.56,"Bancheva & Greilhuber,2006"
Asteraceae,Erigeron,alpinus,,1.56,"Garcia et al.,2013"
Asteraceae,Encelia,farinosa,,1.57,"Sliwinska et al.,2009"
Asteraceae,Centaurea,kosaninii,,1.57,"Siljak-Yakovlev et al.,2010"
Asteraceae,Hypochaeris,glabra,,1.57,"Cerbah M et al.,1999"
Asteraceae,Arnica,montana,,1.57,"Garcia et al.,2013"
Asteraceae,Centaurea,stoebe,,1.57,"Bancheva & Greilhuber,2006"
Asteraceae,Senecio,vulgaris,,1.6,"Bennett et al.,1976"
Asteraceae,Bellis,perennis,,1.58,"Veselý et al.,2013"
Asteraceae,Vernonanthura,loretensis,,1.58,"Vega & Dematteis,2017"
Asteraceae,Vernonanthura,montevidensis,,1.58,"Vega & Dematteis,2017"
Asteraceae,Bidens,frondosa,,1.59,"Garcia et al.,2013"
Asteraceae,Andryala,crithmifolia,,1.59,"Garcia et al.,2013"
Asteraceae,Centaurea,glaberrima,,1.6,"Siljak-Yakovev et al.,2005"
