Family,Genus,species,haploid,SCS
Scarabaeidae,Apogonia,Apogonia_carita,10,XY
Scarabaeidae,Apogonia,Apogonia_ferruginea,10,XO
Scarabaeidae,Apogonia,Apogonia_nigricans,10,XO
Scarabaeidae,Apogonia,Apogonia_nigricans,10,XY
Scarabaeidae,Apogonia,Apogonia_proxima,10,XY
Scarabaeidae,Apogonia,Apogonia_sp.,10,XO
Scarabaeidae,Apogonia,Apogonia_sp.,11,XO
Scarabaeidae,Apogonia,Apogonia_sp.,10,XY
Scarabaeidae,Apogonia,Apogonia_unistraita,10,XY
Scarabaeidae,Archophileurus,Archophileurus_vervex,8,NeoXY
Scarabaeidae,Aserica,Aserica_pilula,10,XY
Scarabaeidae,Aserica,Aserica_sp.,10,XO
Scarabaeidae,Ataenius,Ataenius_fossor,10,XY
Scarabaeidae,Ataenius,Ataenius_haemorrhoidalis,10,XY
Scarabaeidae,Ataenius,Ataenius_merdarius,10,XY
Scarabaeidae,Ataenius,Ataenius_rufipus,10,XY
Scarabaeidae,Ataenius,Ataenius_scrutator,10,XY
Scarabaeidae,Atheuchus,Atheuchus_sp.,8,XY
Scarabaeidae,Athyreus,Athyreus_excavatus,10,XY
Scarabaeidae,Augosoma,Augosoma_centaurus,9,NeoXY
Scarabaeidae,Autoserica,Autoserica_assamensis,15,XY
Scarabaeidae,Autoserica,Autoserica_sp.,9,XY
Scarabaeidae,Autoserica,Autoserica_sp.,10,XY
Scarabaeidae,Bolbelasmus,Bolbelasmus_arcuatus,10,XY
Scarabaeidae,Bolbites,Bolbites_onitoides,10,XY
Scarabaeidae,Bolboceras,Bolboceras_quadridens,10,XY
Scarabaeidae,Bolboceras,Bolboceras_sp.,10,XY
Scarabaeidae,Bolboceratops,Bolboceratops_indicum,10,XY
Scarabaeidae,Bothynus,Bothynus_striatellus,10,XY
Scarabaeidae,Bubas,Bubas_bison,10,XY
Scarabaeidae,Bubas,Bubas_bubaloides,10,XY
Scarabaeidae,Bubas,Bubas_bubalus,10,XY
Scarabaeidae,Caccobius,Caccobius_schreberi,10,XY
Scarabaeidae,Canthidium,Canthidium_breve,9,XY
Scarabaeidae,Canthochilum,Canthochilum_andyi,9,XY
Scarabaeidae,Canthochilum,Canthochilum_hispidum,9,XY
Scarabaeidae,Canthochilum,Canthochilum_histeroides,9,XY
