"family","genus","sp","species","haploid"
"Pottiaceae","Timmiella","subintegra","Timmiella_subintegra",14
"Pottiaceae","Timmiella","subintegra","Timmiella_subintegra",13
"Brachytheciaceae","Tomentypnum","nitens","Tomentypnum_nitens",11
"Pottiaceae","Tortella","inclinata","Tortella_inclinata",7
"Pottiaceae","Tortella","tortuosa","Tortella_tortuosa",13
"Pottiaceae","Tortula","aestiva","Tortula_aestiva",13
"Pottiaceae","Tortula","aestiva","Tortula_aestiva",48
"Thuidiaceae","Pelekium","velatum","Pelekium_velatum",11
"Bartramiaceae","Philonotis","angusta","Philonotis_angusta",6
"Bartramiaceae","Philonotis","calcarea","Philonotis_calcarea",6
"Bartramiaceae","Philonotis","calcarea","Philonotis_calcarea",6
"Bartramiaceae","Philonotis","calcarea","Philonotis_calcarea",6
"Bartramiaceae","Philonotis","falcata","Philonotis_falcata",12
"Bartramiaceae","Philonotis","fontana","Philonotis_fontana",6
"Bartramiaceae","Philonotis","fontana","Philonotis_fontana",12
"Bartramiaceae","Philonotis","revoluta","Philonotis_revoluta",6
"Bartramiaceae","Philonotis","seriata","Philonotis_seriata",6
"Bartramiaceae","Philonotis","thwaitesii","Philonotis_thwaitesii",6
"Bartramiaceae","Philonotis","tomentella","Philonotis_tomentella",6
"Bartramiaceae","Philonotis","turneriana","Philonotis_turneriana",6
"Bartramiaceae","Philonotis","vagans","Philonotis_vagans",7
"Dicranaceae","Anisothecium","molliculum","Anisothecium_molliculum",13
"Dicranaceae","Dicranella","schreberianum","Dicranella_schreberianum",7
"Dicranaceae","Dicranella","varium","Dicranella_varium",7
"Pottiaceae","Anoectangium","aestivum","Anoectangium_aestivum",13
"Pottiaceae","Anoectangium","aestivum","Anoectangium_aestivum",13
"Pottiaceae","Anoectangium","stracheyanum","Anoectangium_stracheyanum",14
"Bryaceae","Anomobryum","auratum","Anomobryum_auratum",10
"Bryaceae","Anomobryum","filiforme","Anomobryum_filiforme",10
"Bryaceae","Anomobryum","filiforme","Anomobryum_filiforme",10
"Bryaceae","Anomobryum","filiforme","Anomobryum_filiforme",10
"Bryaceae","Anomobryum","filiforme","Anomobryum_filiforme",10
"Bryaceae","Anomobryum","nitidum","Anomobryum_nitidum",20
"Bryaceae","Anomobryum","nitidum","Anomobryum_nitidum",20
"Bryaceae","Anomobryum","nitidum","Anomobryum_nitidum",20
"Bryaceae","Anomobryum","subnitidum","Anomobryum_subnitidum",11
"Bryaceae","Anomobryum","subnitidum","Anomobryum_subnitidum",11
"Bryaceae","Anomobryum","subnitidum","Anomobryum_subnitidum",10
"Thuidiaceae","Anomodon","attenuatus","Anomodon_attenuatus",11
"Thuidiaceae","Anomodon","attenuatus","Anomodon_attenuatus",10
"Thuidiaceae","Anomodon","giraldii","Anomodon_giraldii",11
"Thuidiaceae","Anomodon","longifolius","Anomodon_longifolius",11
"Thuidiaceae","Anomodon","minor","Anomodon_minor",10
"Funariaceae","Physcomitrium","coorgense","Physcomitrium_coorgense",52
"Funariaceae","Physcomitrium","coorgense","Physcomitrium_coorgense",26
"Funariaceae","Physcomitrium","cyathicarpum","Physcomitrium_cyathicarpum",26
"Funariaceae","Physcomitrium","eurystomum","Physcomitrium_eurystomum",26
"Funariaceae","Physcomitrium","eurystomum","Physcomitrium_eurystomum",52
"Funariaceae","Physcomitrium","japonicum","Physcomitrium_japonicum",26
