"clade","species","haploid"
"anura","alsodes_pehuenche","13"
"anura","alsodes_tumultuosus","13"
"anura","alsodes_vanzolinii","13"
"anura","alsodes_vanzolinii","13"
"anura","alsodes_verrucosus","13"
"anura","alsodes_vittatus","14"
"anura","eupsophus_calcaratus","15"
"anura","eupsophus_emiliopugini","14"
"anura","eupsophus_insularis","15"
"anura","eupsophus_migueli","15"
"anura","eupsophus_roseus","15"
"anura","eupsophus_roseus","15"
"anura","eupsophus_roseus","15"
"anura","eupsophus_vertebralis","21"
"anura","limnomedusa_macroglossa","13"
"anura","alytes_cisternasii","19"
"anura","alytes_muletensis","19"
"anura","alytes_obstetricans","19"
"anura","discoglossus_galganoi_galganoi","14"
"anura","discoglossus_jeanneae","14"
"anura","discoglossus_montalentii","14"
"anura","discoglossus_pictus","14"
"anura","discoglossus_pictus_auritus","14"
"anura","discoglossus_pictus_pictus","14"
"anura","discoglossus_sardus","14"
"anura","allobates_brunneus","12"
"anura","allobates_caeruleodactylus","11"
"anura","allobates_chalcopis","11"
"anura","allobates_femoralis","12"
"anura","allobates_marchesianus","11"
"anura","allobates_nidicola","11"
"anura","allobates_olfersioides","12"
"anura","allobates_talamancae","12"
"anura","anomaloglossus_stepheni","12"
"anura","aromobates_leopardalis","12"
"anura","mannophryne_herminae","12"
"anura","mannophryne_neblina","12"
"anura","mannophryne_olmonae","12"
"anura","mannophryne_trinitatis","12"
"anura","mannophryne_trinitatis","12"
"anura","rheobates_palmatus","12"
"anura","arthroleptis_adolfifriederici","7"
"anura","arthroleptis_poecilonotus","7"
"anura","arthroleptis_sp","7"
"anura","arthroleptis_stenodactylus","7"
"anura","astylosternus_diadematus","27"
"anura","cardioglossa_gracilis","8"
"anura","cardioglossa_leucomystax","9"
"anura","leptopelis_aubryi","11"
"anura","leptopelis_bocagii","11"
"anura","leptopelis_boulengeri","11"
"anura","leptopelis_calcaratus","12"
"anura","leptopelis_concolor","12"
"anura","leptopelis_gramineus","12"
"anura","leptopelis_palmatus","12"
"anura","leptopelis_parkeri","15"
"anura","leptopelis_vermiculatus","12"
"anura","leptopelis_viridis","12"
"anura","leptopelis_viridis","11"
"anura","nyctibates_corrugatus","14"
"anura","ascaphus_truei","22"
"anura","ascaphus_truei","23"
"anura","atelognathus_nitoi","13"
"anura","atelognathus_patagonicus","13"
"anura","atelognathus_praebasalticus","13"
"anura","atelognathus_reverberii","13"
"anura","batrachyla_antartandica","13"
"anura","batrachyla_leptopus","13"
"anura","batrachyla_nibaldoi","13"
"anura","batrachyla_taeniata","13"
"anura","hylorina_sylvatica","13"
"anura","bombina_bombina","12"
"anura","bombina_maxima","14"
"anura","bombina_microdeladigitora","14"
"anura","bombina_orientalis","12"
"anura","bombina_pachypus","12"
"anura","bombina_variegata","12"
"anura","brachycephalus_ephippium","11"
"anura","ischnocnema_guentheri","11"
"anura","ischnocnema_holti","10"
"anura","ischnocnema_holti","10"
"anura","ischnocnema_juipoca","11"
"anura","ischnocnema_lactea","10"
"anura","ischnocnema_lactea","10"
"anura","breviceps_gibbosus","12"
"anura","callulina_kreffti","12"
"anura","altiphrynoides_malcolmi","11"
"anura","altiphrynoides_osgoodi","11"
"anura","anaxyrus_americanus","11"
"anura","anaxyrus_boreas","11"
"anura","anaxyrus_boreas","11"
"anura","anaxyrus_boreas","11"
"anura","anaxyrus_canorus","11"
"anura","anaxyrus_cognatus","11"
"anura","anaxyrus_compactilis","11"
"anura","anaxyrus_debilis","11"
"anura","anaxyrus_fowleri","11"
"anura","anaxyrus_hemiophrys","11"
"anura","anaxyrus_houstonensis","10.5"
"anura","anaxyrus_houstonensis","11"
"anura","anaxyrus_kelloggi","11"
"anura","anaxyrus_microscaphus","11"
"anura","anaxyrus_nelsoni","11"
"anura","anaxyrus_punctatus","11"
"anura","anaxyrus_quercicus","11"
"anura","anaxyrus_retiformis","11"
"anura","anaxyrus_speciosus","11"
"anura","anaxyrus_terrestris","11"
"anura","anaxyrus_woodhousii","11"
"anura","anaxyrus_woodhousii","11"
"anura","anaxyrus_woodhousii","11"
"anura","anaxyrus_woodhousii","11"
"anura","atelopus_ignescens","11"
"anura","atelopus_spumarius","11"
"anura","atelopus_varius","11"
"anura","bufo_ailaoanus","11"
"anura","bufo_aspinius","11"
"anura","bufo_bankorensis","11"
"anura","bufo_bufo","11"
"anura","bufo_bufo","11"
"anura","bufo_eichwaldi","11"
"anura","bufo_gargarizans","11"
"anura","bufo_gargarizans","11"
"anura","bufo_gargarizans_gargarizans","11"
"anura","bufo_japonicus","11"
"anura","bufo_pageoti","11"
"anura","bufo_pewzowi","22"
"anura","bufo_sp","15"
"anura","bufo_stejnegeri","11"
"anura","bufo_torrenticola","11"
"anura","bufo_tuberculatus","11"
"anura","bufo_verrucosissimus","11"
"anura","bufotes_baturae","16.5"
"anura","bufotes_oblongus","22"
"anura","bufotes_oblongus","22"
"anura","bufotes_oblongus","22"
"anura","bufotes_oblongus_oblongus","22"
"anura","bufotes_pewzowi_pewzowi","22"
"anura","bufotes_pewzowi_strauchi","22"
"anura","bufotes_pewzowi_taxkorensis","22"
"anura","bufotes_pewzowi_unicolor","22"
"anura","bufotes_pseudoraddei","16.5"
"anura","bufotes_turanensis","11"
"anura","bufotes_turanensis","16.5"
"anura","bufotes_variabilis","11"
"anura","bufotes_variabilis","22"
"anura","bufotes_viridis","11"
"anura","bufotes_viridis","22"
"anura","bufotes_viridis","11"
"anura","bufotes_zugmayeri","16.5"
"anura","capensibufo_rosei","11"
"anura","duttaphrynus_dhufarensis","11"
"anura","duttaphrynus_himalayanus","11"
"anura","duttaphrynus_melanostictus","11"
"anura","duttaphrynus_stomaticus","11"
"anura","duttaphrynus_stomaticus","11"
"anura","epidalea_calamita","11"
"anura","incilius_alvarius","11"
"anura","incilius_bocourti","11"
"anura","incilius_canaliferus","11"
"anura","incilius_coccifer","11"
"anura","incilius_coniferus","11"
"anura","incilius_holdridgei","11"
"anura","incilius_luetkenii","11"
"anura","incilius_marmoreus","11"
"anura","incilius_mazatlanensis","11"
"anura","incilius_occidentalis","11"
"anura","incilius_perplexus","11"
"anura","incilius_valliceps","11"
"anura","ingerophrynus_biporcatus","11"
"anura","ingerophrynus_parvus","11"
"anura","melanophryniscus_atroluteus","11"
"anura","melanophryniscus_cf_tumifrons","11"
"anura","melanophryniscus_cupreuscapularis","11"
"anura","melanophryniscus_devincenzii","11"
"anura","melanophryniscus_fulvoguttatus","11"
"anura","melanophryniscus_klappenbachi","11"
"anura","melanophryniscus_krauczuki","11"
"anura","melanophryniscus_montevidensis","11"
"anura","melanophryniscus_moreirae","11"
"anura","melanophryniscus_pachyrhynus","11"
"anura","melanophryniscus_paraguayensis","11"
"anura","melanophryniscus_rubriventris","11"
"anura","melanophryniscus_sanmartini","11"
"anura","melanophryniscus_sp_aff_montevidensis","11"
"anura","melanophryniscus_stelzneri","11"
"anura","mertensophryne_anotis","11"
"anura","nannophryne_variegata","11"
"anura","nectophryne_afra","11"
"anura","nectophrynoides_tornieri","11"
"anura","nimbaphrynoides_occidentalis","11"
"anura","phrynoidis_asper","11"
"anura","poyntonophrynus_fenoulheti","11"
"anura","rentapia_hosii","11"
"anura","rhaebo_blombergi","11"
"anura","rhaebo_blombergi","11"
"anura","rhaebo_haematiticus","11"
"anura","rhinella_achavali","11"
"anura","rhinella_arenarum","11"
"anura","rhinella_arunco","11"
"anura","rhinella_atacamensis","11"
"anura","rhinella_crucifer","11"
"anura","rhinella_diptycha","11"
"anura","rhinella_diptycha","11"
"anura","rhinella_dorbignyi","11"
"anura","rhinella_fernandezae","11"
"anura","rhinella_fernandezae","11"
"anura","rhinella_granulosa","11"
"anura","rhinella_icterica","11"
"anura","rhinella_icterica","11"
"anura","rhinella_jimi","11"
"anura","rhinella_marina","11"
"anura","rhinella_poeppigii","11"
"anura","rhinella_rubescens","11"
"anura","rhinella_rubropunctata","11"
"anura","rhinella_spinulosa","11"
"anura","schismaderma_carens","11"
"anura","sclerophrys_asmarae","20"
"anura","sclerophrys_blanfordii","10"
"anura","sclerophrys_brauni","10"
"anura","sclerophrys_camerunensis","10"
"anura","sclerophrys_capensis","10"
"anura","sclerophrys_danielae","10"
"anura","sclerophrys_garmani","10"
"anura","sclerophrys_gracilipes","11"
"anura","sclerophrys_gutturalis","10"
"anura","sclerophrys_kerinyagae","10"
"anura","sclerophrys_latifrons","10"
"anura","sclerophrys_maculata","10"
"anura","sclerophrys_mauritanica","11"
"anura","sclerophrys_pardalis","11"
"anura","sclerophrys_perreti","10"
"anura","sclerophrys_poweri","10"
"anura","sclerophrys_poweri","15"
"anura","sclerophrys_pusilla","10"
"anura","sclerophrys_regularis","10"
"anura","sclerophrys_steindachneri","10"
"anura","sclerophrys_superciliaris","10"
"anura","sclerophrys_tihamica","11"
"anura","sclerophrys_xeros","10"
"anura","strauchbufo_raddei","11"
"anura","vandijkophrynus_gariepensis","11"
"anura","vandijkophrynus_inyangae","11"
"anura","werneria_preussi","11"
"anura","xanthophryne_koynayensis","11"
"anura","calyptocephalella_gayi","13"
"anura","telmatobufo_australis","13"
"anura","telmatobufo_bullocki","13"
"anura","telmatobufo_ignotus","13"
"anura","telmatobufo_venustus","13"
"anura","centrolene_buckleyi","10"
"anura","cochranella_granulosa","10"
"anura","espadarana_prosoblepon","10"
"anura","espadarana_prosoblepon","10"
"anura","hyalinobatrachium_colymbiphyllum","10"
"anura","hyalinobatrachium_duranti","10"
"anura","hyalinobatrachium_fleischmanni","10"
"anura","hyalinobatrachium_fragile","10"
"anura","hyalinobatrachium_orientale","10"
"anura","hyalinobatrachium_valerioi","10"
"anura","sachatamia_albomaculata","10"
"anura","teratohyla_amelie","10"
"anura","teratohyla_midas","10"
"anura","teratohyla_pulverata","10"
"anura","teratohyla_spinosa","10"
"anura","vitreorana_antisthenesi","10"
"anura","vitreorana_eurygnatha","10"
"anura","cornufer_papuensis","11"
"anura","platymantis_dorsalis","10"
"anura","platymantis_hazelae","13"
"anura","ceratophrys_aurita","13"
"anura","ceratophrys_aurita","52"
"anura","ceratophrys_aurita","52"
"anura","ceratophrys_calcarata","13"
"anura","ceratophrys_cranwelli","13"
"anura","ceratophrys_joazeirensis","52"
"anura","ceratophrys_ornata","13"
"anura","ceratophrys_ornata","52"
"anura","chacophrys_pierottii","13"
"anura","lepidobatrachus_asper","13"
"anura","lepidobatrachus_laevis","13"
"anura","lepidobatrachus_llanensis","13"
"anura","conraua_crassipes","13"
"anura","barycholos_cf_ternetzi","11"
"anura","barycholos_ternetzi","11"
"anura","craugastor_andi","11"
"anura","craugastor_angelicus","10"
"anura","craugastor_augusti","11"
"anura","craugastor_augusti","11"
"anura","craugastor_berkenbuschii","11"
"anura","craugastor_bransfordii","10"
"anura","craugastor_bransfordii","9"
"anura","craugastor_bransfordii","10"
"anura","craugastor_bransfordii","9"
"anura","craugastor_bransfordii","10"
"anura","craugastor_crassidigitus","11"
"anura","craugastor_crassidigitus","11"
"anura","craugastor_crassidigitus","11"
"anura","craugastor_crassidigitus","11"
"anura","craugastor_crassidigitus","11"
"anura","craugastor_decoratus","11"
"anura","craugastor_emcelae","11"
"anura","craugastor_escoces","10"
"anura","craugastor_escoces","10"
"anura","craugastor_fitzingeri","11"
"anura","craugastor_fitzingeri","11"
"anura","craugastor_fleischmanni","10"
"anura","craugastor_gollmeri","11"
"anura","craugastor_greggi","11"
"anura","craugastor_gulosus","10"
"anura","craugastor_gulosus","10"
"anura","craugastor_loki","9"
"anura","craugastor_longirostris","11"
"anura","craugastor_longirostris","11"
"anura","craugastor_megacephalus","10"
"anura","craugastor_megacephalus","10"
"anura","craugastor_melanostictus","11"
"anura","craugastor_melanostictus","11"
"anura","craugastor_milesi","11"
"anura","craugastor_mimus","10"
"anura","craugastor_obesus","11"
"anura","craugastor_opimus","10"
"anura","craugastor_opimus","10"
"anura","craugastor_podiciferus","9"
"anura","craugastor_punctariolus","12"
"anura","craugastor_punctariolus","10"
"anura","craugastor_raniformis","11"
"anura","craugastor_ranoides","11"
"anura","craugastor_ranoides","10"
"anura","craugastor_rayo","11"
"anura","craugastor_rhodopis","9"
"anura","craugastor_rhyacobatrachus","10"
"anura","craugastor_rugosus","10"
"anura","craugastor_rugulosus","11"
"anura","craugastor_rugulosus","10"
"anura","craugastor_stejnegerianus","9"
"anura","craugastor_talamancae","11"
"anura","craugastor_talamancae","11"
"anura","craugastor_taurus","10"
"anura","craugastor_underwoodi","9"
"anura","craugastor_vocalis","11"
"anura","euparkerella_brasiliensis","10"
"anura","haddadus_binotatus","11"
"anura","holoaden_bradei","9"
"anura","holoaden_luederwaldti","13.5"
"anura","holoaden_luederwaldti","9"
"anura","oreobates_barituensis","11"
"anura","oreobates_berdemenos","11"
"anura","oreobates_crepitans","11"
"anura","oreobates_discoidalis","11"
"anura","oreobates_discoidalis","11"
"anura","pristimantis_aff_dundeei","14"
"anura","pristimantis_altae","13"
"anura","pristimantis_altamazonicus","17"
"anura","pristimantis_boconoensis","16"
"anura","pristimantis_bogotensis","17"
"anura","pristimantis_caryophyllaceus","16"
"anura","pristimantis_charlottevillensis","18"
"anura","pristimantis_conspicillatus","17"
"anura","pristimantis_conspicillatus","17"
"anura","pristimantis_cruentus","16"
"anura","pristimantis_cruentus","10"
"anura","pristimantis_curtipes","17"
"anura","pristimantis_duellmani","18"
"anura","pristimantis_dundeei","14"
"anura","pristimantis_euphronides","16"
"anura","pristimantis_euphronides","16"
"anura","pristimantis_fenestratus","17"
"anura","pristimantis_gaigei","17"
"anura","pristimantis_hoogmoedi","13"
"anura","pristimantis_lacrimosus","17"
"anura","pristimantis_lanthanites","18"
"anura","pristimantis_lanthanites","18"
"anura","pristimantis_nubisilva","18"
"anura","pristimantis_paulodutrai","11"
"anura","pristimantis_paulodutrai","15"
"anura","pristimantis_paulodutrai","15"
"anura","pristimantis_pulvinatus","18"
"anura","pristimantis_ramagii","15"
"anura","pristimantis_ridens","17"
"anura","pristimantis_riveroi","18"
"anura","pristimantis_riveroi","17.5"
"anura","pristimantis_shrevei","16"
"anura","pristimantis_shrevei","16"
"anura","pristimantis_sp_n_h","18"
"anura","pristimantis_sp_n_h","17.5"
"anura","pristimantis_terraebolivaris","18"
"anura","pristimantis_terraebolivaris","18"
"anura","pristimantis_unistrigatus","17"
"anura","pristimantis_unistrigatus","16.5"
"anura","pristimantis_urichi","15"
"anura","pristimantis_variabilis","17"
"anura","pristimantis_variabilis","17"
"anura","pristimantis_ventrimarmoratus","18"
"anura","strabomantis_biporcatus","18"
"anura","strabomantis_biporcatus","17.5"
"anura","strabomantis_biporcatus","10"
"anura","strabomantis_biporcatus","18"
"anura","strabomantis_biporcatus","18"
"anura","strabomantis_bufoniformis","11"
"anura","strabomantis_sulcatus","11"
"anura","cycloramphus_acangatan","13"
"anura","cycloramphus_asper","13"
"anura","cycloramphus_boraceiensis","13"
"anura","cycloramphus_brasiliensis","13"
"anura","cycloramphus_carvalhoi","13"
"anura","cycloramphus_dubius","13"
"anura","cycloramphus_eleutherodactylus","13"
"anura","cycloramphus_fuliginosus","13"
"anura","cycloramphus_lutzorum","13"
"anura","cycloramphus_rhyakonastes","13"
"anura","thoropa_miliaris","13"
"anura","zachaenus_parvulus","13"
"anura","adelphobates_castaneoticus","9"
"anura","adelphobates_galactonotus","9"
"anura","adelphobates_quinquevittatus","10"
"anura","adelphobates_quinquevittatus","9"
"anura","ameerega_bilinguis","12"
"anura","ameerega_flavopicta","12"
"anura","ameerega_hahneli","12"
"anura","ameerega_hahneli","12"
"anura","ameerega_picta","12"
"anura","ameerega_picta","12"
"anura","ameerega_trivittata","12"
"anura","ameerega_trivittata","12"
"anura","andinobates_opisthomelas","11"
"anura","colostethus_femoralis","12"
"anura","colostethus_inguinalis","12"
"anura","colostethus_sp_1","11"
"anura","colostethus_sp_2","11"
"anura","dendrobates_auratus","9"
"anura","dendrobates_tinctorius","9"
"anura","dendrobates_truncatus","9"
"anura","hyloxalus_subpunctatus","12"
"anura","hyloxalus_vertebralis","12"
"anura","leucostethus_fraterdanieli","12"
"anura","oophaga_granulifera","10"
"anura","oophaga_histrionica","10"
"anura","oophaga_pumilio","10"
"anura","oophaga_pumilio","10"
"anura","phyllobates_lugubris","12"
"anura","euphlyctis_cyanophlyctis","13"
"anura","euphlyctis_hexadactylus","13"
"anura","fejervarya_cancrivora","13"
"anura","fejervarya_cf_limnocharis","13"
"anura","fejervarya_limnocharis","13"
"anura","fejervarya_limnocharis","13"
"anura","fejervarya_limnocharis","13"
"anura","fejervarya_multistriata","13"
"anura","hoplobatrachus_crassus","13"
"anura","hoplobatrachus_occipitalis","13"
"anura","hoplobatrachus_occipitalis","26"
"anura","hoplobatrachus_occipitalis","26"
"anura","hoplobatrachus_rugulosus","13"
"anura","hoplobatrachus_tigerinus","13"
"anura","hoplobatrachus_tigerinus","13"
"anura","limnonectes_acanthi","12"
"anura","limnonectes_blythii","12"
"anura","limnonectes_fujianensis","11"
"anura","limnonectes_kuhlii","11"
"anura","limnonectes_macrodon","12"
"anura","limnonectes_namiyei","11"
"anura","limnonectes_visayanus","12"
"anura","minervarya_cf_brevipalmata","13"
"anura","minervarya_cf_keralensis","13"
"anura","minervarya_rufescens","13"
"anura","minervarya_sahyadris","13"
"anura","nanorana_chayuensis","13"
"anura","nanorana_maculosa","13"
"anura","nanorana_parkeri","13"
"anura","nanorana_phrynoides","32"
"anura","nanorana_pleskei","13"
"anura","nanorana_quadranus","13"
"anura","nanorana_sichuanensis","32"
"anura","nanorana_taihangnica","13"
"anura","nanorana_unculuanus","20"
"anura","nanorana_ventripunctata","13"
"anura","nanorana_yunnanensis","32"
"anura","occidozyga_laevis","13"
"anura","occidozyga_lima","13"
"anura","occidozyga_lima","13"
"anura","occidozyga_martensii","13"
"anura","quasipaa_boulengeri","13"
"anura","quasipaa_boulengeri","13"
"anura","quasipaa_boulengeri","13"
"anura","quasipaa_exilispinosa","13"
"anura","quasipaa_jiulongensis","13"
"anura","quasipaa_spinosa","13"
"anura","quasipaa_yei","13"
"anura","diasporus_diastema","10"
"anura","diasporus_diastema","9"
"anura","diasporus_vocator","9"
"anura","eleutherodactylus_abbotti","9"
"anura","eleutherodactylus_alticola","16"
"anura","eleutherodactylus_amplinympha","14"
"anura","eleutherodactylus_andrewsi","16"
"anura","eleutherodactylus_antillensis","13"
"anura","eleutherodactylus_antillensis","13"
"anura","eleutherodactylus_antillensis","13"
"anura","eleutherodactylus_atkinsi","14"
"anura","eleutherodactylus_auriculatus","9"
"anura","eleutherodactylus_bakeri","14"
"anura","eleutherodactylus_bakeri","13.5"
"anura","eleutherodactylus_brittoni","13"
"anura","eleutherodactylus_brittoni","13"
"anura","eleutherodactylus_cavernicola","15"
"anura","eleutherodactylus_cochranae","13"
"anura","eleutherodactylus_cooki","13"
"anura","eleutherodactylus_coqui","13"
"anura","eleutherodactylus_cubanus","11"
"anura","eleutherodactylus_cundalli","15"
"anura","eleutherodactylus_cundalli","14.5"
"anura","eleutherodactylus_cuneatus","16"
"anura","eleutherodactylus_dimidiatus","15"
"anura","eleutherodactylus_eneidae","13"
"anura","eleutherodactylus_fuscus","14"
"anura","eleutherodactylus_glandulifer","15.5"
"anura","eleutherodactylus_glaucoreius","15"
"anura","eleutherodactylus_glaucoreius","14.5"
"anura","eleutherodactylus_goini","16"
"anura","eleutherodactylus_gossei","13"
"anura","eleutherodactylus_grabhami","15"
"anura","eleutherodactylus_griphus","16"
"anura","eleutherodactylus_gryllus","13"
"anura","eleutherodactylus_hedricki","13"
"anura","eleutherodactylus_hedricki","13"
"anura","eleutherodactylus_heminota","14"
"anura","eleutherodactylus_heminota","13.5"
"anura","eleutherodactylus_heminota","15"
"anura","eleutherodactylus_ionthus","13"
"anura","eleutherodactylus_jamaicensis","15"
"anura","eleutherodactylus_jasperi","13"
"anura","eleutherodactylus_johnstonei","14"
"anura","eleutherodactylus_junori","12"
"anura","eleutherodactylus_karlschmidti","15"
"anura","eleutherodactylus_klinikowskii","16"
"anura","eleutherodactylus_leprus","13"
"anura","eleutherodactylus_limbatus","16"
"anura","eleutherodactylus_locustus","13"
"anura","eleutherodactylus_luteolus","14"
"anura","eleutherodactylus_mariposa","11"
"anura","eleutherodactylus_marnockii","13"
"anura","eleutherodactylus_martinicensis","14"
"anura","eleutherodactylus_nitidus","11"
"anura","eleutherodactylus_nortoni","15"
"anura","eleutherodactylus_nubicola","16"
"anura","eleutherodactylus_orcutti","16"
"anura","eleutherodactylus_pantoni","13"
"anura","eleutherodactylus_patriciae","11"
"anura","eleutherodactylus_pentasyringos","14"
"anura","eleutherodactylus_planirostris","16"
"anura","eleutherodactylus_planirostris","16"
"anura","eleutherodactylus_planirostris_goinii","16"
"anura","eleutherodactylus_planirostris_planirostris","16"
"anura","eleutherodactylus_portoricensis","13"
"anura","eleutherodactylus_portoricensis","13"
"anura","eleutherodactylus_richmondi","15"
"anura","eleutherodactylus_riparius","16"
"anura","eleutherodactylus_sisyphodemus","16"
"anura","eleutherodactylus_sp_1","13"
"anura","eleutherodactylus_sp_2","11"
"anura","eleutherodactylus_unicolor","15"
"anura","eleutherodactylus_varians","9"
"anura","eleutherodactylus_varians","17"
"anura","eleutherodactylus_varleyi","16"
"anura","eleutherodactylus_wightmanae","13"
"anura","eleutherodactylus_zugi","16"
"anura","eleutherodactylus_zugi","15"
"anura","syrrhophus_marnocki","15"
"anura","heleophryne_purcelli","13"
"anura","cryptobatrachus_boulengeri","13"
"anura","flectonotus_fitzgeraldi","14"
"anura","flectonotus_pygmaeus","14"
"anura","flectonotus_pygmaeus","14"
"anura","fritziana_fissilis","15"
"anura","fritziana_goeldii","13"
"anura","fritziana_ohausi","14"
"anura","gastrotheca_andaquiensis","13"
"anura","gastrotheca_cornuta","14"
"anura","gastrotheca_espeletia","13"
"anura","gastrotheca_fissipes","13"
"anura","gastrotheca_gracilis","13"
"anura","gastrotheca_griswoldi","13"
